نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
شيرين السادات,,تهرانپارس خ 150 غربی بین خ برادران صادقی و اتوبان باقری,0,23,دیپلم,,20,,27
شيرين بانو,,خیابان جوادیه 20 متری داخل بازارچه,1,22,سیکل,,32,,0
شيرين گل,,بالاتر م ولیعصر کوچه شهید شهامتی,0,14,کارشناسی (لیسانس),,34,,35
شيلا,,میدان صنعت - ابتدای خ خوردین - ابتدای خ هرمزان -,0,20,کارشناسی ارشد یا بالاتر,,50,,28
شيماالسادات,,مصطفی خمینی . نرسیده به چهارراه مولوی کووچه فرهود,1,17,ابتدایی یا متوسطه,,20,,26
شيواني غزاله,,خ خاوران - مینابی -  ک محمرضا مرادی -,1,12,دیپلم,,41,,35
صابره سادات,,تهرانسر بلوار یاس,1,16,سیکل,,19,,10
صاحبعلي,,شهرری . شهرعلائین . نبش خیابان میثم جنوبی,0,18,کارشناسی (لیسانس),,25,,10
صاحبه جان,,یوسف اباد -بالاتر از کلانتری -خ 48-محدوده,0,24,کارشناسی ارشد یا بالاتر,,46,,34
صادقعلي,,خ گاندی - خ دهم -,0,23,ابتدایی یا متوسطه,,53,,22
صالحه خانم,,خ ایت  بالاتر از خ  گلستان,1,17,دیپلم,,31,,12
صائمه,,مسعودیه خ ابومسلم ک ونکی فراهانی ک 10 متری دوم,0,19,سیکل,,39,,13
صبح نساء,,ولنجک - ک 17 - بعد از تقاطع ساسان - ک 17 دست راست -,0,15,کارشناسی (لیسانس),,53,,11
صبحانعلي,,پیروزی - سه راه سلیمانیه - خیابان بنائی - نبش بن بست ششم,1,24,کارشناسی ارشد یا بالاتر,,28,,7
صبحه نساء,,بلوار ابوذر بین پل اول و دوم ک دهم شرقی ( معیا) پویش 4,0,25,ابتدایی یا متوسطه,,15,,15
صبرگل,,لواسانی - موذی,1,21,دیپلم,,30,,23
صبيله,,تهران پارس . خ 196 شرقی .,0,18,سیکل,,22,,9
صحبت اله,,دولت کو چه بهمنی کو چه پروا نه .انتهای  پروانه در حال ساخت,1,13,کارشناسی (لیسانس),,20,,7
صحرا,,مصطفی خمینی ک کاهوند ابتدای صادق پور,1,23,کارشناسی ارشد یا بالاتر,,20,,6
صحيفه,,مطهری . نرسیده به شریعتی . سر بن بست شیوا,0,21,ابتدایی یا متوسطه,,44,,13
صداقت,,سهروردی  شمالی  .  ابتدای  خ  شهید  قندی  .  بین  خ  6  و  8,0,24,دیپلم,,19,,17
صدقعلي,,خیابان شهید اجاره دار روبه روی کوچه شهیدین,1,12,سیکل,,25,,3
صدمه,,میدان خراسان خ خاوران خ انوراده خ صادقی,1,16,کارشناسی (لیسانس),,49,,9
صديقه سلطان,,میدان سبلان - خیابان جانبازان غربی - تقاطع شهید حیدری,1,20,کارشناسی ارشد یا بالاتر,,18,,18
صغراء,,میدلن بروجردی - کوچه فیض آبادی - کوچه درختی,1,17,ابتدایی یا متوسطه,,54,,17
صغراخاتون,,ستارخان. خسرو جنوبی. ک 25 شرقی.,1,18,دیپلم,,19,,7
صغراسادات,,خ پاسداران - شهید افشاری - انتهای خ گلستان سوم - کنار اتوبان صیاد,1,21,سیکل,,25,,11
صغراي,,یاخچی آباد - خ مذهب شناس - خ فلاح -,0,16,کارشناسی (لیسانس),,26,,31
صغري بيگم,,مجیدیه شمالی . خ 16 متری دوم . خ منصوری .,1,20,کارشناسی ارشد یا بالاتر,,22,,31
صفدرعلي,,چهرراه حسابی خ رضایی نبش ک مقدم,1,25,ابتدایی یا متوسطه,,53,,13
صفرگل,,مولوی خیابان تختی,0,24,دیپلم,,35,,18
صفي اله,,بلوار ارم خیابان پنچم شرقی کوچه امین,0,19,سیکل,,32,,3
صفيه السادات,,شهرری خ ابن بابیه گلستان سوم,0,14,کارشناسی (لیسانس),,37,,28
صفيه سادات,,30  متری  نیرو  هوایی   .  خ  7/36   .,0,23,کارشناسی ارشد یا بالاتر,,42,,6
صلاح الدين,,ستارخان خ باقر خان,0,21,ابتدایی یا متوسطه,,52,,7
صنم بر,,خ شهید بهشتی - خیابان صابونچی -کوچه هشتم -,1,15,دیپلم,,44,,6
صنم گل,,کیانشهر - خ خواجوی کرمانی -,0,13,سیکل,,34,,3
صهباسادات,,خ امام خمینی,1,22,کارشناسی (لیسانس),,29,,5
صهيب,,هفده شهریور .خ سرحدی .بن‌بست کریمی,1,22,کارشناسی ارشد یا بالاتر,,42,,23
ضاحي,,ابتدای خیابان جمهوری اسلامی به  سمت اسکندری,0,20,ابتدایی یا متوسطه,,53,,24
ضمياء,,حبیب اللهی . خیابان شیخ فضل الله اکبری .,0,23,دیپلم,,34,,26
ضياءالدين,,خ رشید جنوبی . بین رشید و کیخسروی . خ نقی نیا,0,16,سیکل,,15,,1
طاناز,,جیحون خیابان مرتضوی کوی حیدریان کوی مسجد انتهای ک,1,24,کارشناسی (لیسانس),,41,,3
طاهرالسادات,,خ عجب گل . بعد از چهارراه عارف سر گوچه صادقی,1,13,کارشناسی ارشد یا بالاتر,,25,,10
طاهره خانم,,میدان محمدیه به سمت چهارراه مولوی کوچه اکبری کوچه اق داشی کوچه باغ انگوری کوچه اذر نیا,1,13,ابتدایی یا متوسطه,,27,,18
طراوت,,خیابان گلبرگ غربی.خیابان شهید حسین صفایی.,1,21,دیپلم,,35,,14
طرحي,,میرزا شیرازی . بین ک 16 و 18 .,1,14,سیکل,,23,,7
طلابگم,,پاسدار گمنام خیابان واضحی فر,1,15,کارشناسی (لیسانس),,16,,29
طلايه,,میدان هروی . بلوار گلزار . ک شهید عبدی .,0,23,کارشناسی ارشد یا بالاتر,,36,,23
طلعت آغا,,خ ارتش بالاتر از بیمارستان محک خ شورا بن بست ابشار,0,23,ابتدایی یا متوسطه,,21,,8
طلعت السادات,,خ صبوری . کوچه کامیار .,1,14,دیپلم,,39,,31
طلعت بانو,,سعادت آباد .بلوارفرحزادی .میدان کتاب .خیابان کوهستان.,1,21,سیکل,,48,,8
طلوع,,مسعودیه -خ کلهر - نرسیده به چهارراه 4 -,0,14,کارشناسی (لیسانس),,18,,34
طلوعه,,انتهای خا نی اباد نو    شهرک بستان   خ . ماهور,1,19,کارشناسی ارشد یا بالاتر,,39,,23
طنازسادات,,سعدی.قبل از انقلاب.,0,15,ابتدایی یا متوسطه,,45,,10
طهمورث,,خیابان مطهری . نبش خیابان فجر ( جم ) .,0,14,دیپلم,,19,,29
طهمينه,,م خراسان خ طیب  نبش ک حاجی مرشد,1,19,سیکل,,52,,29
طهوراسادات,,خیابان آیت الله کاشانی - خیابان الهی - بعد از میدان -,0,24,کارشناسی (لیسانس),,28,,26
طوبي خانم,,خیا با ن ایران شهر - نبش کو چه شریف - ملک سر نبش شریف .,1,18,کارشناسی ارشد یا بالاتر,,46,,3
طيبه بيگم,,نازی آباد. میدان سرسبز. کوچه شهید حسن زاده,0,20,ابتدایی یا متوسطه,,46,,12
طيبه خانم,,اتوبان ایت الله  سعیدی,0,16,دیپلم,,17,,26
طيهو,,خ هنگام ورودی هنگام به زین الدین غرب,0,20,سیکل,,54,,2
ظاهر,,سعادت آباد . بلوار دریا . خ صرافهای  جنوبی . انتهای ک نوزدهم شرقی  . بعد از پیچ . بن بست وحدت  .,1,23,کارشناسی (لیسانس),,43,,33
ظريفه,,خ کمالی - چهارراه لشکر -,0,21,کارشناسی ارشد یا بالاتر,,48,,19
عابس,,افسریه خ قائم کوچه ششم شهید مدنی,0,18,ابتدایی یا متوسطه,,27,,30
عاجب,,میدان امام حسین خ 17شهریور شمالی نبش کوچه پرستاری,1,16,دیپلم,,34,,6
عادله سادات,,بلوار شهید  دستواره مسیر شمال به جنوب 200متر پایین تر از پایانه,0,23,سیکل,,37,,13
عارف حسين,,ونک و والی نژاد نبش کوچه والی نژاد,0,19,کارشناسی (لیسانس),,51,,6
عارفه السادات,,خیابان هنگام خیابان 20 متری شمیران نو دور میدان پاکدامن,1,24,کارشناسی ارشد یا بالاتر,,36,,11
عارفه زهرا,,پاسداران - نبش بوستان  چهارم,1,25,ابتدایی یا متوسطه,,44,,6
عاطفه سادات,,مدنی شمال- خیابان رمضانی-  خ واشقانی- مدرسه استقلال,0,15,دیپلم,,18,,5
عافيه,,ولیعصر محمودیه کوچه تیر نبش اسفندار,1,23,سیکل,,26,,11
عاقل,,سهروردی جنوبی ک نفیسی ÷ 1,1,17,کارشناسی (لیسانس),,55,,1
عالمه السادات,,تهرانپارس . خیابان 150شرقی .,0,14,کارشناسی ارشد یا بالاتر,,40,,23
عبادالله,,شهرک کاروان 20 متری امام خمینی خیابان تختی کوچه سوم,0,19,ابتدایی یا متوسطه,,42,,34
عباس مراد,,کرمان جنوبی خ صافی,0,25,دیپلم,,22,,24
عبد,,رسالت مجیدیه شمالی شهید منصوری (16متری دوم )بین کوچه استرکی و داود علی بخشی,1,25,سیکل,,51,,0
عبدالاعلي,,مشیریه خ اسکندر لو خ عباسی خ تیمسار فلاحی,1,18,کارشناسی (لیسانس),,19,,12
عبدالامام,,20 متری ابوذر خ رذاغی ک 13 مغازه نانوایی,1,15,کارشناسی ارشد یا بالاتر,,53,,34
عبدالباري,,تهرانسر . بلوار لاله . ابتدای خیابان نفت شمالی  اول .خ بیستم,0,22,ابتدایی یا متوسطه,,23,,18
عبدالجبار,,جاده ساوه خ دولتخوان خ پیروز جنوبی انتهای ک 35,0,25,دیپلم,,33,,17
عبدالحكيم,,خ خلیج . خ فلاح زاده . ک 6 متری رجایی .,0,16,سیکل,,26,,0
عبدالحليم,,خیابان مطهری  - لارستان - کوچه 18 -,0,15,کارشناسی (لیسانس),,22,,15
عبدالسلام,,خیابان خرمشهر شمالی  - کوچه چهار متری  -,1,12,کارشناسی ارشد یا بالاتر,,25,,4
عبدالصادق,,میدان بریانک روبه روی خ دعوتی,1,15,ابتدایی یا متوسطه,,55,,24
عبدالطاهر,,پاسگاه نعمت آباد شهرک صادقیه 12 ش فولاد,1,21,دیپلم,,28,,29
عبدالعباس,,خ خوش جنوبی ک نعیمی,0,23,سیکل,,55,,13
عبدالقادر,,اندرزگو خ احمدی,1,24,کارشناسی (لیسانس),,36,,31
عبدالمجيب,,قلعه مرغی. ابتدای خ ابوذر. خ تشیع. کوچه شهید ناصر جدی پور. بن بست نیایش.,1,15,کارشناسی ارشد یا بالاتر,,52,,9
عبدالمحمود,,دزاشیب خ کریمی پایین تر چهار راه اسدی - از منتهی الیه کوچه ثابتی - تا,0,14,ابتدایی یا متوسطه,,17,,30
عبدالمعيد,,جنت اباد جنوبی. بین همت و م چهار باغ. ک اعتضادی شرقی.,0,13,دیپلم,,35,,30
عبدالمناف,,شهرری - جوانمرد قصاب - خ حنیفه زاده - خ عیدی - ک سوم شرقی,0,16,سیکل,,28,,8
عبدالناصر,,شهرری - 13 آبان - خیابان ر ضازاده - نبش کوچه شهید فرجی,0,13,کارشناسی (لیسانس),,28,,35
عبدالوحيد,,تهرانسر . بلوار شاهد غربی یا نیلوفر. بعد از مسجد رسول اکرم .,0,19,کارشناسی ارشد یا بالاتر,,25,,19
عبدل,,انتهای جیحون.حسام الدین.16 متری.ک زارع,1,12,ابتدایی یا متوسطه,,52,,14
عبدل علي,,شهرری. میدان نماز .,1,23,دیپلم,,40,,21
عبديزدان,,خ مختاری.ک لشگری نژاد.خ حسینی .,1,23,سیکل,,51,,5
عبود,,شهرک غرب بلوار دادمان خ جلیلوند سوم غربی,1,23,کارشناسی (لیسانس),,23,,32
عبيد,,خ خاوران. خ ذوالفقاری . سر کوچه تسلیحی .,0,17,کارشناسی ارشد یا بالاتر,,43,,31
عتيه,,خیابان عبدالله زاده خ سراابادی و شهرستمی اواسط کوچه,0,15,ابتدایی یا متوسطه,,19,,6
عذراء,,مختاری غربی کوچه صفا بن بست اخر,0,25,دیپلم,,29,,17
عذرابانو,,افسریه خ تختی,1,24,سیکل,,38,,19
عذرابيگم,,میدان رسالت خیابان هنگام خیابان 20 متری شمیران نو دور میدان پاکدامن,1,20,کارشناسی (لیسانس),,37,,12
عذراخانم,,تهرانپارس . خ  133 ( جمیلی شبستری ) . ک علی جعفری,0,16,کارشناسی ارشد یا بالاتر,,24,,3
عذراسادات,,سعادت آباد بلوار فرحزادی 18 متری مطهری 10 متری اول,0,18,ابتدایی یا متوسطه,,42,,19
عذري سادات,,خ تهران نو بعد از پل خاقانی خ صدیقیان کوچه سر تا سر جویهای ک حنیفه,0,13,دیپلم,,44,,24
عرمان,,انتهای اشرفی اصفهانی خ اسدالله زارعشهرک نفت ک25,1,22,سیکل,,53,,30
عزت السادات,,شهریور جنوبی - به سمت میدان خراسان - چهاراه قیا سی -,1,18,کارشناسی (لیسانس),,40,,34
عزت سادات,,تهران ویلا.خ هخامنش(امام منتظر).خ نادری راد.جنب,1,24,کارشناسی ارشد یا بالاتر,,19,,5
عزيزاغا,,خانی آباد نو - خ صمدی - ک شاد -,1,18,ابتدایی یا متوسطه,,22,,21
عزيزآقا,,لاله زار شمالی- بعدازمنوچهری- سر کوچه مصباح,1,25,دیپلم,,15,,8
عزيزقلي,,فلکه اول تهرانپارس - ابتدای خ پروین -,0,22,سیکل,,42,,33
عزيزه بانو,,شهرک غرب - بلوار دادمان - خ درختی - پایین تز شیرینی ضیافت -,0,19,کارشناسی (لیسانس),,37,,9
عسكري,,نارمک - خ آیت - خ شهید ملایری - بین طاهری و گلدار-,0,15,کارشناسی ارشد یا بالاتر,,39,,25
عشرت السادات,,خیابان پاسدار گمنام - خیابان فرشته آزادی -بن بست تاجیک -,1,25,ابتدایی یا متوسطه,,43,,3
عشرت سادات,,تقاطع خیابان پیروزی و خیابان نبرد,0,12,دیپلم,,19,,34
عشيره,,خ رجایی م بهشت خ ابریشم 18 متری تختی ک هشتم,1,14,سیکل,,26,,35
عصمت الزهراء,,شاد اباد  خ انصا ری   ابتدای  خ  جعفری  به سمت  میدان سبحانی,1,22,کارشناسی (لیسانس),,55,,18
عصمت السادات,,درختان دور میدان پانزدهم,1,18,کارشناسی ارشد یا بالاتر,,32,,3
عصمتي,,خ اندرزگو  خ  دکتر لواسانی   خ   غلامرضا حسینی,0,17,ابتدایی یا متوسطه,,28,,17
عطاء,,شهرک ولیعصرخ سپیده جنوبی-ک سجاد,1,18,دیپلم,,22,,31
عطاءالله,,شهرزیبا -بلوار شهر زیبا-روبری,1,20,سیکل,,28,,17
عطران سادات,,مجیدیه شمالی . شمس اباد . پایین میدان بهشتی . خ کاوسی . ک صفایی غربی .,0,25,کارشناسی (لیسانس),,46,,21
عطرت,,ضلع جنوبی سه راه اذری,1,21,کارشناسی ارشد یا بالاتر,,17,,23
عطري,,سید جمال الدین . مابین بیستون و خ 18 .,0,24,ابتدایی یا متوسطه,,31,,16
عطرين,,20 متری کرمان جنوبی .خ صافی . ک رضایی .,1,25,دیپلم,,19,,11
عطوفه,,ولنجک مقدس اردبیلی خیابان فرخ بالاتر از نیلوفر,1,20,سیکل,,17,,4
عظيم اله,,ولنجک مقدس اردبیلی خیابان فرخ بالاتر از نیلوفر,1,24,کارشناسی (لیسانس),,37,,24
عفت خانم,,میدان هروی - بلوارگلزار - خ 15 - کوچه ادیب -,1,16,کارشناسی ارشد یا بالاتر,,37,,9
عفناهن,,خیابان زنجان شمالی . تقاطع  سیادت,0,14,ابتدایی یا متوسطه,,23,,3
عفيفه زهراسادات,,بلوار کشاورز.,0,23,دیپلم,,46,,15
عقيله السادات,,شهرری - 4 راه دیلمان  - دیلمان شمالی - نبش رستمی راد,1,13,سیکل,,51,,32
علا,,خ 212 غربی  ( جوادیان فر ) - بین اخوت و طاهری -,0,19,کارشناسی (لیسانس),,35,,17
علاء,,یوسف آباد-خ جهان آرا-خیابان اشک شهر,1,24,کارشناسی ارشد یا بالاتر,,40,,0
علم دار,,نبرد شمالی ائمه اطهار بین چهاراه پرستار و افراسیابی .,1,19,ابتدایی یا متوسطه,,42,,20
علويه ياسمن,,خیابان پیروزی . نرسیده به نبرد . ابتدای کوچه اکبری,1,12,دیپلم,,36,,4
علي احسان,,اتوبان فتح. مابین پل کن تا ویتانا  کنار گذر,1,22,سیکل,,19,,6
علي احمد,,اتوبان فتح. مابین پل کن تا ویتانا  کنار گذر,1,17,کارشناسی (لیسانس),,22,,32
علي آقا,,خ   پدیدار,0,14,کارشناسی ارشد یا بالاتر,,30,,23
علي اله,,خ . پیروزی  خ .  شکوفه  ک . صدر عاملی,0,19,ابتدایی یا متوسطه,,48,,7
علي باز,,انتهای بلوار ارتش - جلوی پارکینگ شرکت نفت,1,16,دیپلم,,35,,33
علي بخش,,بزرگراه رسالت بعد از مترو تهرانپارس,0,19,سیکل,,53,,33
علي پناه,,پاسداران .خیابان شهید عراقی. کوچه همیشه بهار غربی,1,18,کارشناسی (لیسانس),,52,,23
علي جعفر,,خ نظام اباد جنوبی بعد از بیمارستان امام حسین,0,14,کارشناسی ارشد یا بالاتر,,37,,0
علي جمعه,,بلوار فردوس غرب . بین باکری و فردوس غرب . پارک پرنیان,0,24,ابتدایی یا متوسطه,,34,,31
علي حسن,,سهروردی شمالی - خ آپادانا - خ نیلوفر - کوچه4,1,15,دیپلم,,30,,3
علي حيدر,,شهران - نرسیده به فلکه سوم -,1,15,سیکل,,25,,24
علي داد,,خ خاوران خ بهشت ابتدای ک خدایی,0,17,کارشناسی (لیسانس),,43,,6
علي رحم,,حکیم غرب - ورودی بوستان نهج البلاغه - ک صدوقی,1,19,کارشناسی ارشد یا بالاتر,,46,,13
علي رحيم,,شهر ری  -  -میدان  هادی سا ئی  -,0,24,ابتدایی یا متوسطه,,42,,2
علي رهبر,,خ هاشمی بین 21 متری جی و میدان هاشمی,1,12,دیپلم,,21,,12
علي سان,,میدان قیام خیابان مولوی نرسیده به چهارراه مولوی کوچه ابراهیم کریمی,0,21,سیکل,,31,,21
علي شعبان,,ازادگان جنوب.خ علی مرادی.نسیم 16,1,19,کارشناسی (لیسانس),,15,,9
علي قلي,,آهنگ.خ شهمیرزادی.خ قرایی گرکانی.نبش کوچه نبی زاده.,0,16,کارشناسی ارشد یا بالاتر,,32,,27
علي كوثر,,تهرانپارس قنات کوثر بلوار مطهری کوچه 7 شرقی,0,19,ابتدایی یا متوسطه,,55,,32
علي گدا,,خیابان دزاشیب خیابان رمضانی,0,17,دیپلم,,34,,11
علي مردان,,خ  فردوس  غرب  خ  پروانه  خ  هشتم  وهفتم,0,22,سیکل,,17,,11
علي مشهورحاجي,,سراج - کوچه ثقفی -,0,12,کارشناسی (لیسانس),,26,,4
عليحسين,,میدان مادر- خ شاه نظری- میدان گاظمی,0,13,کارشناسی ارشد یا بالاتر,,38,,10
عليشاه,,مهراباد جنوبی. خ چهارده معصوم. کوچه حنیفه لو. کنار پارک یاس,1,24,ابتدایی یا متوسطه,,18,,29
عليكرم,,شهرک غرب فاز 3 خ حسن سیف کوچه هفدهم,1,14,دیپلم,,32,,27
عليمراد,,میدان منیریه.بالاتر از میدان,1,12,سیکل,,27,,1
عماء,,بهشتی . بین مدرس و قائم مقام,0,18,کارشناسی (لیسانس),,15,,24
عمادمحمد,,مشیریه . خ 30متری صالحی . بعد از چهاراه دوم . ک شهیدیه شرقی .,0,25,کارشناسی ارشد یا بالاتر,,55,,20
عمران بانو,,خانی آباد نو . خ میثاق جنوبی . شهرک بستان . ک شهید قزوینیان,0,12,ابتدایی یا متوسطه,,41,,31
عنايت,,خیابان فرشته - خیابان بیدار -,0,16,دیپلم,,41,,6
عنبر,,مدرس شمال به جنوب بعد از خ ظفر سمت راست,0,19,سیکل,,17,,16
عنزه,,دولت اباد فلکه اول خ فرهنگ ک شهید عباسی,0,23,کارشناسی (لیسانس),,35,,17
عهديه السادات,,خیابان 20 متری شمیران نو دور میدان پاکدامن,0,20,کارشناسی ارشد یا بالاتر,,41,,28
عهديه سادات,,کیلومتر 14 کرج قدیم  - شهرک دانش خ تقی دخت  انتهای بن بست شورا,0,23,ابتدایی یا متوسطه,,22,,7
عوضعلي,,خزانه بخارایی فلکه اول عباسی خ شهید ضربعلی زاده نبش  کوچه حق شناس,1,23,دیپلم,,29,,16
عيدان,,نارمک . خ گلستان . خ غیاثی پور شمالی . بعد از چهار راه نادی .,0,22,سیکل,,22,,17
عيدمحمد,,رجایی . میدان بهشت . هجده متری تختی . فلکه دوم . نبش ک 38,1,21,کارشناسی (لیسانس),,35,,18
عيسي قلي,,راه اهن ابتدای پل جوادیه,1,18,کارشناسی ارشد یا بالاتر,,30,,11
عينعلي,,خ دولت خ کوچه نعمتی کوچه جانثاری کوچه حیدر,0,20,ابتدایی یا متوسطه,,29,,5
عيونه,,خ ظفر خ عمرانی نبش قره گوزلو,1,22,دیپلم,,42,,34
غازي,,انتهای نواب/خ مهران جنوبی/نبش کوچه ایثاربخش,1,17,سیکل,,24,,18
غريب,,نواب.به سمت جنوب.بعد از میدان نهم دی.بوستان آفتاب .,1,20,کارشناسی (لیسانس),,23,,29
غريبعلي,,مینی سیتی-شهرک قائم-کوچه مریم2-,0,24,کارشناسی ارشد یا بالاتر,,24,,31
غزاله السادات,,اتابک -خ نفیس -,1,16,ابتدایی یا متوسطه,,30,,3
غزبس,,20متری ابوذر - خ ببری - نبش کوچه جباری,0,15,دیپلم,,36,,24
غفارعلي,,خ شهر ری خ دولت آباد فلکه اول بلوار قدس,1,16,سیکل,,51,,0
غلام حيدر,,17 شهریور جنوبی - نبش کوچه حصاری,1,21,کارشناسی (لیسانس),,50,,7
غلام محمد,,ضلع شرقی خ 17 شهریور. بالاتر از تقاطع خ ایت الله سعیدی. تقاطع کوچه مهدی مهری. ضلع شمالی تقاطع . حریم پیاده راه,1,16,کارشناسی ارشد یا بالاتر,,44,,28
غلامشاه,,خ لبافی  نژاد - نرسیده به تقاطع خ دانشگاه  روی تابلو برق,1,25,ابتدایی یا متوسطه,,53,,25
غنچه,,تهران پارس.بلوار پروین.ک شهابی.,0,19,دیپلم,,16,,22
غيب اله,,خیابان ولیعصر - بالاتر از چهار راه پارک وی - کوچه خیام - روبه روی کوچه آریا .,1,21,سیکل,,35,,26
غيبعلي,,دار آباد خ سبکرو کوچه طالب نسب,0,21,کارشناسی (لیسانس),,22,,20
فاخته,,امام خمینی.بین خوش و قصر الدشت.,0,15,کارشناسی ارشد یا بالاتر,,23,,8
فادياسادات,,خ ابوذر فلاح-میدان جلیلی -بازارچه جلیلی -,1,22,ابتدایی یا متوسطه,,27,,2
فاروق,,مهر آباد جنوبی - 20 متری شمشیری - ک کرمی -,1,16,دیپلم,,19,,17
فاطره,,ستارخان نرسیده به م توحید,0,20,سیکل,,27,,17
فاطمه اسرا,,شادآباد - خیابان جعفری - نبش کوچه عامره,1,22,کارشناسی (لیسانس),,30,,15
فاطمه بشرا,,میدان فرحزاد خ لعالی خ محسن فرحزادی,1,24,کارشناسی ارشد یا بالاتر,,33,,6
فاطمه بهار,,جنت اباد شمالی - خ ایران شهر - خ میثاق - خ علامه - ک بهاران 4 -,0,25,ابتدایی یا متوسطه,,37,,33
فاطمه بي بي,,13 آبان خ امانی شمالی بعد از چهارراه,0,24,دیپلم,,51,,23
فاطمه ثنا,,فلکه اول خزانه -نبش خ فراهانی  جلوی قنادی بهادری,1,21,سیکل,,35,,30
فاطمه حلماسادات,,شهرک غرب. میدان صنعت. چهارراه سرو. 18 متری مطهری.,1,12,کارشناسی (لیسانس),,35,,5
فاطمه خانم,,لویزان . خ شعبانلو .,1,12,کارشناسی ارشد یا بالاتر,,37,,12
فاطمه سما,,کامرانیه . ک تاجیک .,0,20,ابتدایی یا متوسطه,,24,,30
فاطمه صبا,,هفت تیر - مفتح  جنوبی - خ ورزنده - خ سلماسی -,1,22,دیپلم,,26,,19
فاطمه عذرا,,میدان داراباد . خ سبک رو . ک سنایی .,0,12,سیکل,,37,,6
فاطمه كبري,,خ کمیل شرقی .,1,12,کارشناسی (لیسانس),,42,,35
فاطمه كبري سادات,,جامی شیخ هادی  بن بست هما,0,13,کارشناسی ارشد یا بالاتر,,22,,30
فاطمه گل,,پیروزی - خیابان کلینی -ک مهربانی .,1,12,ابتدایی یا متوسطه,,53,,26
فاطمه مطهره,,خیابان قیطریه - خیابان محمودیان,1,15,دیپلم,,25,,24
فاطمه معصومه سادات,,جنت اباد جنوبی بلوار لاله غربی نبش خ ابراهیمی,1,15,سیکل,,24,,3
فالح,,جمالزاده شمالی خیابان نیلوفر کنار سرای محله,1,20,کارشناسی (لیسانس),,41,,24
فايديم,,17 شهریور شمالی خ شکوفه خ دورودیان بن بست اقبال,0,17,کارشناسی ارشد یا بالاتر,,43,,12
فائضه,,از م امامزاده قاسم . ک گل پرور-  ک صفایی,1,17,ابتدایی یا متوسطه,,35,,9
فتي,,سهروردی شمالی . کوچه تهمتن,0,14,دیپلم,,45,,30
فتيه,,ازگل . کوچه مدرسه . بن بست کوهسار .,1,19,سیکل,,53,,27
فخرالدولت,,خ پیروزی  خ زینتی افخم,0,19,کارشناسی (لیسانس),,28,,16
فخرانگيز,,سجاد جنوبی نرسیده به میدان بهاران کوچه شهید عابدی,1,23,کارشناسی ارشد یا بالاتر,,39,,34
فخري تاج,,بلوار فردوس شرق میدان گلستان شمالی,0,25,ابتدایی یا متوسطه,,38,,1
فخريه بيگم,,اتوبان افسریه - خ فهمیده -,1,22,دیپلم,,49,,32
فرانگيز,,شهرک غرب - بلوار دادمان - پایین تر از شیرینی ضیا فت -,1,17,سیکل,,20,,23
فربود,,اتوبان امام علی بالاتر از پاسدارگمنام  خ حسین علی بابایی شرقی .خ لیکایی,0,14,کارشناسی (لیسانس),,49,,33
فرج الله,,خیابان گل نبی خیابان ناطق نوری کوچه یاقوت,0,20,کارشناسی ارشد یا بالاتر,,27,,11
فرجاد,,شهرک  ولیعصر  .  خ  حیدری  .  18  متری  یاسر  .  12  متری  کاکلی  .  نبش  ک,0,25,ابتدایی یا متوسطه,,39,,13
فرح خانم,,ولیعصر بعداز ظفر. نرسیده ب نیایش,0,15,دیپلم,,52,,30
فرحان,,نبرد شمالی بلاتر از 4 راه نبی اکرم 8 متر طاهری,1,15,سیکل,,15,,17
فرحانه السادات,,خ شهید مدنی-خ فتحنایی-کوچه سبزیکاری-کوچه حسینی-بن بست چراغی,0,21,کارشناسی (لیسانس),,51,,15
فرحانه سادات,,خیابان دروس بلوار شهرزاد تقاطع کوچه شهید کماسایی,0,24,کارشناسی ارشد یا بالاتر,,22,,12
فرحنازسادات,,بلوار فردوس - خ شهید مالکی - ک نظری - فضای سبز بین,1,23,ابتدایی یا متوسطه,,50,,33
فرخنده السادات,,م هروی . گلستان 5 . خ فرید . بن بست یک شرقی . انتهای بن بست . زمین بایر,1,19,دیپلم,,37,,32
فرديس,,میدان امام حسین ع خیابان دماوند خیابان منتظری چهارراه صفا جلوی ابمیوه فروشی,0,17,سیکل,,41,,17
فرشته سادات,,شهر ری خ نبی پور م حسن زاده .,1,25,کارشناسی (لیسانس),,54,,24
فرشيده,,عبدل اباد - 19 متری رحمان - کل بخشنده,0,24,کارشناسی ارشد یا بالاتر,,49,,3
فرقان,,ولنجک - میدان یاسمن ( حسام الحکما) - ضلع شمال غربی - داخل پیاده رو,1,14,ابتدایی یا متوسطه,,29,,2
فرمان,,خ جشنواره - نرسیده به معینی نژاد -,1,25,دیپلم,,30,,26
فرنازالسادات,,خ زعفرانیه خ مقدس اردبیلی خ ب نبش ک 3,1,15,سیکل,,15,,10
فرنام,,خ فرمانیه - نبش خ آقایی-,1,17,کارشناسی (لیسانس),,29,,11
فرنيان,,خیابان نبرد شمالی نبی اکرم خیابان مظفری کوچه ولیعصر,0,18,کارشناسی ارشد یا بالاتر,,50,,21
فرهان,,الهیه-انتهای خ شهید فیاضی-بعد از بانک ملت-,1,17,ابتدایی یا متوسطه,,26,,16
